model_name,piqa_acc_norm,arc_easy_acc,hellaswag_acc_norm,valid_avg,config_name,train_the_cluster1,train_the_cluster2,train_the_cluster3,train_the_cluster4,train_the_cluster5,train_the_cluster6,train_the_cluster7,train_the_cluster8,train_the_cluster9,train_the_cluster10,train_the_cluster11
proxy_350m_32l_cosine_nemotron_cc_244x_n437,66.2132752992383,53.072390572390600,37.34315873332010,52.2096082016497,n437,0,0,0.0624,0.5356,0.3408,0,0,0.0542,0.003,0,0.0038
proxy_350m_32l_cosine_nemotron_cc_244x_n426,65.61479869423290,45.244107744107700,35.74985062736510,48.8695856885686,n426,0.0018,0,0,0.2424,0.0164,0.6156,0,0.003,0,0.1156,0.0052
proxy_350m_32l_cosine_nemotron_cc_244x_n239,67.30141458106640,47.264309764309800,38.88667596096400,51.1508001021134,n239,0.0058,0,0,0.0024,0,0.001,0.001,0.0024,0.125,0.1504,0.712
proxy_350m_32l_cosine_nemotron_cc_244x_n187,67.35582154515780,52.98821548821550,40.68910575582550,53.67771426306630,n187,0,0.0822,0.2216,0.0052,0.001,0.0598,0.064,0.0602,0.0222,0.4634,0.0202
proxy_350m_32l_cosine_nemotron_cc_244x_n257,67.35582154515780,46.043771043771000,38.667596096395100,50.689062895108,n257,0,0,0,0,0,0.0714,0.0032,0.0008,0.3566,0.0234,0.5446
proxy_350m_32l_cosine_nemotron_cc_244x_n427,67.02937976060940,48.484848484848500,37.83110934076880,51.1151125287422,n427,0.3402,0,0.0482,0.278,0.0042,0,0.0026,0.0188,0.278,0.0208,0.0094
proxy_350m_32l_cosine_nemotron_cc_244x_n474,66.70293797606090,45.83333333333330,37.074287990440200,49.8701864332781,n474,0.5956,0,0.0008,0,0.366,0.001,0.0006,0,0.0362,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n101,66.53971708378670,52.735690235690200,39.86257717586140,53.0459948317794,n101,0.0538,0.1862,0.2558,0.0246,0,0.1588,0,0.0038,0.0778,0.2392,0
proxy_350m_32l_cosine_nemotron_cc_244x_n35,66.92056583242660,50.63131313131310,38.836885082652900,52.1295880154642,n35,0.0084,0,0,0.0006,0.0004,0,0.454,0,0,0.5366,0
proxy_350m_32l_cosine_nemotron_cc_244x_n120,65.77801958650710,52.3989898989899,38.25931089424420,52.1454401265804,n120,0.0002,0.0096,0.1006,0.2636,0.2676,0.2296,0.0016,0.0088,0.0114,0.0032,0.1042
proxy_350m_32l_cosine_nemotron_cc_244x_n57,67.7366702937976,53.28282828282830,39.6036646086437,53.5410543950899,n57,0.2036,0,0.0758,0.0014,0.15,0.0004,0.017,0.2292,0.1176,0.2052,0
proxy_350m_32l_cosine_nemotron_cc_244x_n266,66.75734494015230,45.244107744107700,38.17964548894640,50.0603660577355,n266,0,0.003,0.014,0.0166,0.012,0.1028,0.002,0.0016,0.189,0.6566,0.0024
proxy_350m_32l_cosine_nemotron_cc_244x_n184,67.6822633297062,55.513468013468000,40.67914758016330,54.6249596411125,n184,0.0256,0.009,0.01,0.008,0.0176,0.0008,0.1392,0.5176,0.0152,0.1764,0.0806
proxy_350m_32l_cosine_nemotron_cc_244x_n455,66.92056583242660,54.292929292929300,40.76877116112330,53.9940887621597,n455,0.0002,0,0.4064,0.2744,0,0.0102,0,0.0536,0.1766,0.0582,0.0206
proxy_350m_32l_cosine_nemotron_cc_244x_n190,66.92056583242660,51.76767676767680,40.65923122883890,53.11582460964740,n190,0.0216,0.0102,0.2546,0.0844,0.0016,0.2078,0.02,0.0332,0.0534,0.051,0.2622
proxy_350m_32l_cosine_nemotron_cc_244x_n219,67.41022850924920,52.52525252525250,40.87831109340770,53.60459737596980,n219,0.0132,0.0024,0.383,0.081,0.0016,0.1392,0.0514,0.0084,0.1154,0.0782,0.1262
proxy_350m_32l_cosine_nemotron_cc_244x_n418,66.59412404787810,55.68181818181820,41.23680541724760,54.50424921564800,n418,0,0.0056,0,0.286,0.0566,0.0004,0.0038,0.6012,0.0022,0.0442,0
proxy_350m_32l_cosine_nemotron_cc_244x_n178,68.17192600652880,48.695286195286200,39.892451702848000,52.2532213015543,n178,0,0.0002,0,0.2346,0,0,0.0012,0.0034,0.1358,0,0.6248
proxy_350m_32l_cosine_nemotron_cc_244x_n51,66.75734494015230,50.08417508417510,39.50408285202150,52.11520095878300,n51,0.0292,0,0.0716,0.0068,0.0618,0.194,0,0.043,0.0918,0.2312,0.2704
proxy_350m_32l_cosine_nemotron_cc_244x_n92,68.71599564744290,53.829966329966300,39.84266082453700,54.1295409339821,n92,0.007,0.3392,0.059,0.073,0.066,0.0318,0.0108,0.0876,0.112,0.067,0.1464
proxy_350m_32l_cosine_nemotron_cc_244x_n245,65.50598476605010,53.74579124579120,39.70324636526590,52.98500745903570,n245,0.0072,0,0.158,0.5746,0.0156,0.0152,0.0032,0.0454,0.0688,0.0134,0.0984
proxy_350m_32l_cosine_nemotron_cc_244x_n464,67.35582154515780,55.68181818181820,41.366261700856400,54.8013004759441,n464,0.0726,0,0.263,0,0,0.0008,0,0.5794,0.0002,0.0278,0.0564
proxy_350m_32l_cosine_nemotron_cc_244x_n434,66.48531011969530,50.92592592592590,39.175463055168300,52.1955663669298,n434,0.0004,0,0.0478,0.3766,0,0,0.012,0.0604,0.358,0.0004,0.1444
proxy_350m_32l_cosine_nemotron_cc_244x_n165,66.70293797606090,53.32491582491580,39.782911770563600,53.2702551905134,n165,0.0018,0,0.1672,0.0032,0.1232,0,0.3912,0.0002,0.1822,0.0006,0.1304
proxy_350m_32l_cosine_nemotron_cc_244x_n408,67.02937976060940,51.809764309764300,38.55805616411070,52.4657334114948,n408,0,0.012,0.1192,0.6392,0,0,0.001,0.0376,0.013,0.1724,0.0058
proxy_350m_32l_cosine_nemotron_cc_244x_n146,65.99564744287270,44.36026936026940,37.930691097391000,49.4288693001777,n146,0.1622,0,0,0.0016,0,0.0012,0,0,0.0012,0.8338,0
proxy_350m_32l_cosine_nemotron_cc_244x_n85,66.53971708378670,47.18013468013470,39.036048595897200,50.9186334532729,n85,0.0176,0,0.0446,0,0,0.001,0,0,0.1,0.0112,0.8256
proxy_350m_32l_cosine_nemotron_cc_244x_n112,68.17192600652880,56.81818181818180,41.475801633140800,55.4886364859505,n112,0,0.0294,0.6258,0.0006,0,0,0.0892,0.0996,0,0.1504,0.0048
proxy_350m_32l_cosine_nemotron_cc_244x_n488,67.35582154515780,47.8956228956229,39.48416650069710,51.5785369804926,n488,0.2414,0.004,0.005,0.002,0.007,0,0.0838,0.0016,0.0166,0.1358,0.5028
proxy_350m_32l_cosine_nemotron_cc_244x_n259,68.98803046789990,52.946127946127900,40.91814379605660,54.2841007366948,n259,0.0484,0.0004,0.3584,0.1532,0.0102,0,0.0386,0.0058,0.0636,0.1212,0.2004
proxy_350m_32l_cosine_nemotron_cc_244x_n233,67.02937976060940,52.14646464646470,39.98207528380800,53.05263989696070,n233,0.0014,0,0.0032,0.297,0,0.0062,0.0198,0.075,0.1164,0.1938,0.2872
proxy_350m_32l_cosine_nemotron_cc_244x_n217,63.76496191512510,47.76936026936030,37.53236407090220,49.68889541846250,n217,0.0072,0.0262,0.232,0,0,0.5764,0.0002,0.012,0,0.1146,0.0312
proxy_350m_32l_cosine_nemotron_cc_244x_n460,64.8531011969532,40.31986531986530,35.37143995220080,46.8481354896731,n460,0,0,0.0134,0,0,0,0,0.0008,0.986,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n22,66.43090315560390,47.264309764309800,39.543915554670400,51.079709491528,n22,0.1866,0.0208,0.046,0.0154,0.022,0,0.03,0.0074,0.0066,0.5078,0.1574
proxy_350m_32l_cosine_nemotron_cc_244x_n409,64.90750816104460,47.18013468013470,37.36307508464450,49.81690597527460,n409,0.016,0,0,0,0.0062,0.4588,0.4278,0.0006,0.0002,0.04,0.0506
proxy_350m_32l_cosine_nemotron_cc_244x_n452,67.6822633297062,54.419191919191900,40.21111332403900,54.1041895243124,n452,0.0018,0,0.2446,0.2926,0.0052,0.0174,0.0074,0.1226,0.2466,0.0482,0.0138
proxy_350m_32l_cosine_nemotron_cc_244x_n132,68.00870511425460,51.05218855218860,39.7132045409281,52.9246994024571,n132,0.0068,0.0088,0.0278,0.0028,0.0284,0.0214,0.1308,0.0364,0.2312,0.1446,0.3608
proxy_350m_32l_cosine_nemotron_cc_244x_n214,67.89989118607180,55.00841750841750,40.70902210715000,54.53911026721310,n214,0.181,0.1538,0.0042,0.0008,0,0,0,0.6404,0,0,0.0198
proxy_350m_32l_cosine_nemotron_cc_244x_n123,67.19260065288360,53.87205387205390,40.90818562039430,53.99094671511060,n123,0.0052,0.0002,0.4114,0.2296,0.0776,0.0002,0,0.004,0,0.0154,0.2562
proxy_350m_32l_cosine_nemotron_cc_244x_n421,67.6822633297062,53.36700336700340,40.15136427006570,53.7335436555918,n421,0.0176,0.1696,0.1284,0.0596,0.0242,0,0,0.0002,0.0114,0.5882,0.001
proxy_350m_32l_cosine_nemotron_cc_244x_n183,67.41022850924920,52.609427609427600,40.55964947221670,53.5264351969645,n183,0.0658,0.1674,0.2786,0.0016,0,0.0008,0,0.0022,0.0558,0.4254,0.0024
proxy_350m_32l_cosine_nemotron_cc_244x_n430,67.24700761697500,52.735690235690200,39.902409878510300,53.2950359103918,n430,0.0146,0,0.478,0,0,0.411,0.0002,0.0844,0.0118,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n274,67.79107725788900,50.0,39.762995419239200,52.5180242257094,n274,0.0576,0.0006,0.0548,0.014,0.0032,0.0066,0.0166,0.1398,0.0134,0.6934,0
proxy_350m_32l_cosine_nemotron_cc_244x_n424,67.7366702937976,55.17676767676770,39.22525393347940,54.0462306346816,n424,0,0.092,0.0658,0.0012,0.2116,0.0004,0.4638,0.0664,0.0232,0.0022,0.0734
proxy_350m_32l_cosine_nemotron_cc_244x_n416,67.51904243743200,54.629629629629600,39.79286994622590,53.9805140044292,n416,0,0.0086,0.0958,0.0248,0.3666,0,0.0014,0.4002,0,0.0992,0.0032
proxy_350m_32l_cosine_nemotron_cc_244x_n133,67.41022850924920,45.707070707070700,37.98048197570210,50.3659270640073,n133,0.002,0,0,0.0634,0.0006,0.1616,0.1594,0,0.5818,0.0116,0.0194
proxy_350m_32l_cosine_nemotron_cc_244x_n4,66.75734494015230,47.13804713804710,37.572196773551100,50.4891962839168,n4,0.4752,0.1784,0,0.0418,0,0.0404,0,0.0052,0.0404,0.2166,0.0022
proxy_350m_32l_cosine_nemotron_cc_244x_n53,67.79107725788900,52.23063973063970,39.47420832503490,53.16530843785450,n53,0,0.3044,0.0182,0.1286,0.0566,0.056,0,0.0002,0.0006,0.4352,0
proxy_350m_32l_cosine_nemotron_cc_244x_n21,67.6278563656148,47.85353535353540,39.45429197371040,51.6452278976202,n21,0.0074,0,0,0.0016,0,0.0034,0.0116,0.083,0.0236,0.0582,0.8112
proxy_350m_32l_cosine_nemotron_cc_244x_n32,66.32208922742110,44.36026936026940,37.771360286795500,49.484572958162,n32,0,0,0.0012,0,0,0,0,0,0.162,0.8368,0
proxy_350m_32l_cosine_nemotron_cc_244x_n58,66.59412404787810,48.90572390572390,39.145588528181600,51.5484788272612,n58,0.0022,0,0,0,0,0,0,0.0568,0.0004,0.0124,0.9282
proxy_350m_32l_cosine_nemotron_cc_244x_n5,67.46463547334060,44.14983164983170,38.627763393746300,50.0807435056395,n5,0.123,0,0,0,0.0224,0,0,0,0,0.7942,0.0604
proxy_350m_32l_cosine_nemotron_cc_244x_n60,66.92056583242660,47.30639730639730,37.27345150368450,50.50013821416950,n60,0,0,0,0.3086,0,0.3536,0,0,0.0694,0.264,0.0042
proxy_350m_32l_cosine_nemotron_cc_244x_n459,67.51904243743200,54.503367003367000,40.17128062139020,54.0645633540631,n459,0.0578,0.3618,0.0666,0.0034,0.002,0.0024,0.1596,0.0316,0.0026,0.087,0.225
proxy_350m_32l_cosine_nemotron_cc_244x_n202,65.66920565832430,47.34848484848490,37.16391157140010,50.06053402606980,n202,0.476,0.0036,0,0,0.3728,0,0,0,0.0128,0.1348,0
proxy_350m_32l_cosine_nemotron_cc_244x_n162,64.47225244831340,49.53703703703700,36.73571001792470,50.24833316775840,n162,0,0,0.0006,0.7414,0.0008,0.221,0,0,0.0356,0.0004,0
proxy_350m_32l_cosine_nemotron_cc_244x_n177,67.89989118607180,48.23232323232320,39.10575582553280,51.74599008130930,n177,0.0152,0.0772,0.0064,0.0998,0,0,0.0186,0.013,0.3414,0.2558,0.1728
proxy_350m_32l_cosine_nemotron_cc_244x_n453,67.19260065288360,53.198653198653200,38.38876717785300,52.9266736764633,n453,0.009,0.4478,0.0668,0.022,0.011,0.0184,0.025,0.0078,0.3412,0.0464,0.0046
proxy_350m_32l_cosine_nemotron_cc_244x_n444,67.79107725788900,56.1026936026936,40.440151364270100,54.7779740749509,n444,0.1858,0,0,0,0,0,0.086,0.6842,0.037,0,0.007
proxy_350m_32l_cosine_nemotron_cc_244x_n271,67.84548422198040,51.72558922558920,39.543915554670400,53.0383296674133,n271,0.1598,0.022,0.2518,0.0024,0.103,0.1072,0,0.0518,0.1716,0.1116,0.019
proxy_350m_32l_cosine_nemotron_cc_244x_n288,66.59412404787810,46.96969696969700,39.09579764987060,50.88653955581520,n288,0.1922,0,0,0.0004,0,0,0,0.0014,0,0.0742,0.732
proxy_350m_32l_cosine_nemotron_cc_244x_n8,67.84548422198040,48.98989898989900,39.45429197371040,52.09655839519660,n8,0,0.082,0,0.0644,0.0092,0.0004,0.0638,0.003,0.009,0.7682,0
proxy_350m_32l_cosine_nemotron_cc_244x_n119,66.48531011969530,49.074074074074100,39.26508663612830,51.6081569432992,n119,0.0204,0.1308,0.0708,0,0.003,0,0.0004,0,0,0.7744,0
proxy_350m_32l_cosine_nemotron_cc_244x_n111,68.06311207834600,53.661616161616200,40.73889663413660,54.1545416246996,n111,0,0,0.5632,0,0,0.0002,0,0,0.0002,0.2306,0.2058
proxy_350m_32l_cosine_nemotron_cc_244x_n432,66.70293797606090,52.27272727272730,38.488348934475200,52.4880047277545,n432,0.0626,0.2492,0,0.0164,0.1074,0.235,0.0768,0.0182,0.0042,0.1586,0.0716
proxy_350m_32l_cosine_nemotron_cc_244x_n186,65.94124047878130,51.05218855218860,39.04600677155950,52.01314526750980,n186,0.0254,0.1008,0.0002,0.0146,0,0.4162,0,0.3586,0.0832,0.0008,0
proxy_350m_32l_cosine_nemotron_cc_244x_n483,67.41022850924920,50.715488215488200,39.30491933877710,52.4768786878382,n483,0.2468,0.002,0.0318,0.0006,0.002,0.0864,0,0.3218,0.1026,0.2024,0.0036
proxy_350m_32l_cosine_nemotron_cc_244x_n136,66.32208922742110,52.65151515151520,39.08583947420830,52.68648128438150,n136,0,0,0,0.0008,0,0.0514,0.679,0.1202,0.146,0.0002,0.0022
proxy_350m_32l_cosine_nemotron_cc_244x_n108,66.2676822633297,48.98989898989900,39.27504481179050,51.5108753550064,n108,0.0478,0.0026,0.007,0.0326,0.0022,0,0,0.0036,0.2026,0.0106,0.691
proxy_350m_32l_cosine_nemotron_cc_244x_n281,67.95429815016320,49.91582491582490,39.215295757817200,52.3618062746018,n281,0.0202,0.0034,0.254,0.0124,0,0.246,0.005,0.0046,0.0926,0.3578,0.004
proxy_350m_32l_cosine_nemotron_cc_244x_n195,66.86615886833520,47.8956228956229,39.13563035251940,51.2991373721592,n195,0,0.0002,0.041,0.1416,0.0146,0.0516,0.0238,0.007,0.335,0.385,0
proxy_350m_32l_cosine_nemotron_cc_244x_n276,66.92056583242660,45.496632996633,37.81119298944430,50.076130606168,n276,0,0.0196,0.0176,0.0024,0,0.1178,0.0442,0,0.3638,0.4346,0
proxy_350m_32l_cosine_nemotron_cc_244x_n467,67.5734494015234,51.515151515151500,40.290778729336800,53.1264598820039,n467,0.023,0.013,0.1276,0.269,0.0032,0.0006,0,0,0.1456,0.0256,0.3924
proxy_350m_32l_cosine_nemotron_cc_244x_n479,66.97497279651800,52.35690235690240,39.72316271659030,53.01834595667020,n479,0.014,0,0.2278,0.0104,0.0986,0.081,0,0.0032,0.1518,0.3808,0.0326
proxy_350m_32l_cosine_nemotron_cc_244x_n62,67.6278563656148,55.3030303030303,40.51981676956780,54.4835678127376,n62,0.0004,0,0.0086,0,0,0.0546,0.0156,0.6948,0,0.0328,0.1932
proxy_350m_32l_cosine_nemotron_cc_244x_n14,67.24700761697500,52.77777777777780,39.98207528380800,53.33562022618690,n14,0,0.2254,0.0018,0.0026,0,0,0.2202,0.0326,0,0.5168,0.0008
proxy_350m_32l_cosine_nemotron_cc_244x_n172,67.5734494015234,53.32491582491580,40.7787293367855,53.8923648544082,n172,0.0124,0.0246,0.0398,0.0474,0.023,0.0008,0,0.3074,0.0358,0.461,0.0478
proxy_350m_32l_cosine_nemotron_cc_244x_n3,67.89989118607180,52.735690235690200,40.609440350527800,53.7483405907633,n3,0,0.0014,0.4436,0.0048,0.0208,0.0068,0,0,0,0.365,0.1578
proxy_350m_32l_cosine_nemotron_cc_244x_n42,65.39717083786730,45.83333333333330,36.62617008564030,49.28555808561360,n42,0,0,0,0.0004,0.0082,0,0,0.1408,0.781,0.0652,0.0042
proxy_350m_32l_cosine_nemotron_cc_244x_n164,67.13819368879220,52.062289562289600,39.533957379008200,52.91148021003,n164,0.0842,0.0028,0.0002,0.1772,0.001,0.027,0.1706,0.0694,0,0.4664,0.0014
proxy_350m_32l_cosine_nemotron_cc_244x_n174,66.70293797606090,46.2962962962963,37.11412069308900,50.0377849884821,n174,0.2682,0.0124,0.0822,0.0016,0.0248,0.1962,0.0078,0.0006,0.3812,0.0104,0.0148
proxy_350m_32l_cosine_nemotron_cc_244x_n230,65.83242655059850,51.09427609427610,38.986257717586100,51.9709867874869,n230,0.2746,0.0612,0.0544,0.014,0,0.1658,0.0014,0.186,0.092,0.0778,0.0726
proxy_350m_32l_cosine_nemotron_cc_244x_n299,67.6822633297062,54.25084175084180,40.460067715594500,54.1310575987142,n299,0.0414,0.2456,0.0436,0.2478,0,0.0182,0,0.149,0.039,0.193,0.022
proxy_350m_32l_cosine_nemotron_cc_244x_n69,65.72361262241570,47.264309764309800,37.27345150368450,50.0871246301367,n69,0.6728,0.0004,0.2514,0,0.0016,0.0088,0,0.0036,0.0092,0.0402,0.0118
proxy_350m_32l_cosine_nemotron_cc_244x_n10,66.70293797606090,49.87373737373740,38.73730332603070,51.77132622527630,n10,0.0006,0,0.0004,0.1048,0.1278,0.3062,0.0052,0.0212,0.0006,0.2392,0.1944
proxy_350m_32l_cosine_nemotron_cc_244x_n248,67.13819368879220,46.84343434343430,39.026090420235000,51.0025728174872,n248,0.051,0.0228,0.0226,0.0114,0.046,0.012,0,0.0162,0.0258,0.7604,0.0318
proxy_350m_32l_cosine_nemotron_cc_244x_n7,65.39717083786730,43.85521885521890,36.21788488348930,48.49009152552520,n7,0.6958,0,0.1336,0,0,0.148,0.0084,0.005,0,0.0092,0
proxy_350m_32l_cosine_nemotron_cc_244x_n67,67.46463547334060,53.57744107744110,39.45429197371040,53.49878950816400,n67,0.0104,0.0238,0.0056,0.092,0.2914,0.0022,0.0246,0.1718,0.3004,0.0432,0.0346
proxy_350m_32l_cosine_nemotron_cc_244x_n13,65.77801958650710,42.71885521885520,37.203744274049000,48.5668730264704,n13,0,0,0,0.019,0.0146,0.502,0.0004,0.0018,0.0008,0.3438,0.1176
proxy_350m_32l_cosine_nemotron_cc_244x_n441,67.79107725788900,54.12457912457910,39.942242581159100,53.9526329878757,n441,0,0,0.277,0.0028,0,0.1096,0.4346,0.008,0.046,0.0992,0.023
proxy_350m_32l_cosine_nemotron_cc_244x_n26,66.70293797606090,54.082491582491600,38.41864170483970,53.0680237544641,n26,0,0.3614,0,0.171,0,0.0038,0.4138,0.0314,0.0054,0.013,0
proxy_350m_32l_cosine_nemotron_cc_244x_n115,68.06311207834600,51.5993265993266,39.50408285202150,53.0555071765647,n115,0.0738,0.021,0.0114,0.0062,0.1564,0.0016,0.214,0.0002,0.0032,0.5124,0
proxy_350m_32l_cosine_nemotron_cc_244x_n215,66.70293797606090,51.34680134680140,39.782911770563600,52.6108836978086,n215,0.01,0,0,0.0452,0.0342,0.0042,0.4846,0.001,0.0204,0.0376,0.3628
proxy_350m_32l_cosine_nemotron_cc_244x_n39,67.5734494015234,48.52693602693600,38.846843258315100,51.6490762289248,n39,0.0038,0,0.1282,0.0008,0,0,0.0034,0.0112,0.057,0.7926,0.003
proxy_350m_32l_cosine_nemotron_cc_244x_n139,66.53971708378670,49.57912457912460,37.83110934076880,51.31665033456000,n139,0.1048,0,0.0014,0.1116,0.3726,0.1982,0,0,0.132,0.0794,0
proxy_350m_32l_cosine_nemotron_cc_244x_n197,67.35582154515780,55.17676767676770,42.08325034853620,54.87194652348720,n197,0.0652,0.0984,0.453,0.0084,0,0,0.0986,0.174,0.0072,0.0898,0.0054
proxy_350m_32l_cosine_nemotron_cc_244x_n419,66.75734494015230,52.56734006734010,38.92650866361280,52.75039789036840,n419,0.0064,0.343,0.006,0.002,0.0004,0.0034,0.0112,0.0346,0.233,0.36,0
proxy_350m_32l_cosine_nemotron_cc_244x_n232,67.41022850924920,51.85185185185190,40.420235012945600,53.2274384580156,n232,0,0.0206,0.2098,0.133,0,0,0,0.0022,0.0058,0.0176,0.611
proxy_350m_32l_cosine_nemotron_cc_244x_n422,67.5734494015234,47.264309764309800,39.10575582553280,51.314504997122,n422,0.0134,0.009,0,0.0102,0.0054,0.2802,0.1786,0.0034,0.1216,0.0282,0.3498
proxy_350m_32l_cosine_nemotron_cc_244x_n167,66.1588683351469,53.072390572390600,39.82274447321250,53.0180011269167,n167,0.0062,0.0506,0.0004,0.4174,0.0216,0.0094,0.0042,0.093,0.1066,0.1016,0.189
proxy_350m_32l_cosine_nemotron_cc_244x_n485,66.48531011969530,55.092592592592600,40.54969129655450,54.0425313362808,n485,0,0.0036,0,0.0028,0,0,0,0.9188,0.0002,0.0676,0.007
proxy_350m_32l_cosine_nemotron_cc_244x_n46,66.92056583242660,45.87542087542090,37.83110934076880,50.20903201620540,n46,0.0708,0,0.1504,0,0.0084,0.0292,0,0.0002,0.5886,0.0828,0.0694
proxy_350m_32l_cosine_nemotron_cc_244x_n211,66.64853101196950,50.841750841750800,38.75721967735510,52.0825005103585,n211,0.0724,0.0046,0.0104,0.419,0.0078,0.096,0.0694,0.0282,0.1332,0.1322,0.0268
proxy_350m_32l_cosine_nemotron_cc_244x_n451,65.61479869423290,50.2104377104377,37.4726150169289,51.0992838071998,n451,0.361,0.0004,0,0.0138,0.3132,0,0.0084,0.0472,0.22,0.0342,0.0018
proxy_350m_32l_cosine_nemotron_cc_244x_n75,65.17954298150160,44.907407407407400,35.829516032662800,48.6388221405239,n75,0.0222,0,0.064,0,0.0022,0.676,0.0006,0.057,0.036,0.0046,0.1372
proxy_350m_32l_cosine_nemotron_cc_244x_n44,67.02937976060940,55.5976430976431,40.58952399920340,54.405515619152,n44,0.0322,0,0.8438,0.0002,0,0,0,0.0012,0.0128,0.1094,0.0002
proxy_350m_32l_cosine_nemotron_cc_244x_n173,67.24700761697500,50.505050505050500,38.33897629954190,52.0303448071891,n173,0,0.0178,0.0002,0.4396,0.053,0.157,0,0.0174,0.112,0.2004,0.0026
proxy_350m_32l_cosine_nemotron_cc_244x_n83,67.7366702937976,44.78114478114480,37.88090021907990,50.1329050980074,n83,0.0002,0,0,0.0004,0,0,0,0.003,0.0112,0.9854,0
proxy_350m_32l_cosine_nemotron_cc_244x_n87,66.97497279651800,48.65319865319870,38.38876717785300,51.33897954252320,n87,0.0274,0,0,0.301,0,0.0008,0.0122,0.0692,0.5422,0.047,0
proxy_350m_32l_cosine_nemotron_cc_244x_n94,67.13819368879220,46.043771043771000,38.41864170483970,50.5335354791343,n94,0.0088,0.0834,0,0,0,0.0006,0.0084,0.0002,0.1472,0.7512,0
proxy_350m_32l_cosine_nemotron_cc_244x_n154,67.51904243743200,54.082491582491600,40.1414060944035,53.9143133714424,n154,0.1016,0,0.3874,0.344,0,0.1074,0.001,0.0126,0,0.0408,0.0052
proxy_350m_32l_cosine_nemotron_cc_244x_n63,67.35582154515780,49.158249158249200,38.39872535351520,51.6375986856407,n63,0.2952,0.1448,0.0112,0.0328,0.0074,0,0.0002,0.0346,0.1634,0.304,0.0062
proxy_350m_32l_cosine_nemotron_cc_244x_n188,67.5734494015234,51.85185185185190,38.71738697470620,52.7142294093605,n188,0.0032,0,0.0014,0.6668,0,0.0012,0.0132,0,0.0566,0.2572,0.0002
proxy_350m_32l_cosine_nemotron_cc_244x_n95,66.59412404787810,48.4006734006734,37.75144393547100,50.9154137946742,n95,0.199,0,0.0034,0.0012,0.3498,0.2042,0.0384,0.0012,0.1692,0.0034,0.0304
proxy_350m_32l_cosine_nemotron_cc_244x_n158,68.11751904243740,46.2962962962963,38.458474407488500,50.9574299154074,n158,0,0,0.0756,0.01,0,0.005,0,0.003,0,0.8994,0.007
proxy_350m_32l_cosine_nemotron_cc_244x_n159,67.35582154515780,53.57744107744110,40.74885480979880,53.89403914413260,n159,0.0016,0.096,0.3156,0.0328,0,0,0,0.0402,0.0694,0.0056,0.4392
proxy_350m_32l_cosine_nemotron_cc_244x_n402,67.84548422198040,55.639730639730600,40.70902210715000,54.7314123229537,n402,0,0.047,0,0,0,0.0008,0.125,0.6114,0,0.2138,0.0018
proxy_350m_32l_cosine_nemotron_cc_244x_n152,65.45157780195870,38.678451178451200,36.32742481577380,46.8191512653946,n152,0,0.0136,0,0,0,0.326,0,0,0.6602,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n410,67.41022850924920,52.27272727272730,39.68333001394150,53.12209526530600,n410,0,0.0048,0.0032,0,0.0836,0,0.4868,0.0038,0.0532,0.0216,0.3432
proxy_350m_32l_cosine_nemotron_cc_244x_n52,66.43090315560390,48.10606060606060,38.647679745070700,51.0615478355784,n52,0.0956,0,0.0032,0.0778,0,0.2008,0.1162,0.022,0.0266,0.4088,0.0492
proxy_350m_32l_cosine_nemotron_cc_244x_n81,68.06311207834600,50.378787878787900,38.99621589324840,52.4793719501274,n81,0,0.0222,0.1062,0,0,0.3598,0,0.24,0.0064,0.2656,0
proxy_350m_32l_cosine_nemotron_cc_244x_n228,67.24700761697500,54.37710437710440,39.5538737303326,53.7259952414707,n228,0,0.4184,0.1986,0.0428,0,0.0382,0.1316,0,0.0678,0.0894,0.0132
proxy_350m_32l_cosine_nemotron_cc_244x_n47,66.59412404787810,53.40909090909090,39.59370643298150,53.19897379665020,n47,0,0,0,0.3024,0,0,0.0004,0.3422,0.3408,0.0046,0.0094
proxy_350m_32l_cosine_nemotron_cc_244x_n141,66.37649619151250,48.695286195286200,39.43437562238600,51.5020526697282,n141,0.155,0,0.0046,0.0504,0.0082,0.135,0.0578,0.0002,0.0008,0.0134,0.5746
proxy_350m_32l_cosine_nemotron_cc_244x_n431,66.75734494015230,52.81986531986530,40.21111332403900,53.26277452801890,n431,0,0.0094,0.0006,0.0362,0.064,0,0,0.2086,0.0004,0.0006,0.6804
proxy_350m_32l_cosine_nemotron_cc_244x_n98,66.2676822633297,44.696969696969700,37.73152758414660,49.565393181482,n98,0.273,0,0,0.0624,0,0.003,0.0012,0.002,0.0108,0.6476,0
proxy_350m_32l_cosine_nemotron_cc_244x_n465,67.13819368879220,50.08417508417510,39.165504879506100,52.1292912174911,n465,0.2646,0.071,0.0004,0.2226,0.0726,0.0084,0.001,0.0456,0.0126,0.202,0.099
proxy_350m_32l_cosine_nemotron_cc_244x_n125,67.84548422198040,48.77946127946130,38.91655048795060,51.84716532979740,n125,0.007,0.0906,0,0.0646,0.0282,0,0,0,0,0.8098,0
