model_name,piqa_acc_norm,arc_easy_acc,hellaswag_acc_norm,valid_avg,config_name,train_the_cluster1,train_the_cluster2,train_the_cluster3,train_the_cluster4,train_the_cluster5,train_the_cluster6,train_the_cluster7,train_the_cluster8,train_the_cluster9,train_the_cluster10,train_the_cluster11
proxy_350m_32l_cosine_nemotron_cc_244x_n71,67.30141458106640,49.24242424242420,38.657637920732900,51.7338255814078,n71,0.1112,0.0142,0.0068,0.3076,0.0074,0.1958,0.0028,0.0206,0.0328,0.3006,0.0004
proxy_350m_32l_cosine_nemotron_cc_244x_n128,68.55277475516870,48.65319865319870,39.4443337980482,52.2167690688052,n128,0,0,0.0068,0.1788,0,0.0008,0,0.0362,0.0314,0.6068,0.1392
proxy_350m_32l_cosine_nemotron_cc_244x_n20,66.97497279651800,49.11616161616160,38.58793069109740,51.55968836792570,n20,0,0.0496,0.0088,0,0.1422,0.007,0.22,0.0166,0.522,0.022,0.012
proxy_350m_32l_cosine_nemotron_cc_244x_n40,66.43090315560390,48.61111111111110,37.940649273053200,50.9942211799227,n40,0,0,0.0226,0.2022,0.0004,0.0036,0,0.0106,0.76,0.0002,0
proxy_350m_32l_cosine_nemotron_cc_244x_n298,67.35582154515780,49.074074074074100,38.59788886675960,51.6759281619972,n298,0.3156,0.0752,0,0.0216,0,0.0654,0.0042,0.2046,0.2254,0.0876,0.0004
proxy_350m_32l_cosine_nemotron_cc_244x_n169,66.32208922742110,49.74747474747480,38.46843258315080,51.51266551934890,n169,0.457,0,0.0248,0.2442,0,0.0004,0.0814,0.1052,0.0026,0.0672,0.0172
proxy_350m_32l_cosine_nemotron_cc_244x_n237,67.84548422198040,49.87373737373740,39.64349731129260,52.45423963567010,n237,0.0188,0,0.1286,0.0564,0,0,0,0,0.0052,0.6426,0.1484
proxy_350m_32l_cosine_nemotron_cc_244x_n446,67.79107725788900,54.33501683501680,40.808603863772200,54.3115659855593,n446,0.144,0.0014,0.019,0.0064,0,0,0,0.7064,0.035,0.0844,0.0032
proxy_350m_32l_cosine_nemotron_cc_244x_n220,66.97497279651800,49.11616161616160,38.93646683927510,51.67586708398490,n220,0.0246,0.0364,0.0078,0.0088,0.017,0.3644,0.0174,0.224,0.1126,0.1676,0.0192
proxy_350m_32l_cosine_nemotron_cc_244x_n415,67.13819368879220,50.968013468013500,38.93646683927510,52.3475579986936,n415,0.001,0.2282,0.0016,0.0018,0,0.0262,0,0,0.027,0.7142,0
proxy_350m_32l_cosine_nemotron_cc_244x_n160,66.92056583242660,55.68181818181820,40.948018323043200,54.516800779096,n160,0,0,0.4788,0.333,0,0.07,0,0,0,0.0616,0.0566
proxy_350m_32l_cosine_nemotron_cc_244x_n74,66.32208922742110,51.515151515151500,38.52818163712410,52.1218074598989,n74,0.0052,0.0004,0,0.0002,0.1866,0.4336,0,0.197,0.0044,0.055,0.1176
proxy_350m_32l_cosine_nemotron_cc_244x_n222,66.43090315560390,45.244107744107700,36.9946225851424,49.5565444949513,n222,0,0.0428,0.0194,0.0494,0,0.492,0.0306,0,0,0.3654,0.0002
proxy_350m_32l_cosine_nemotron_cc_244x_n272,67.6278563656148,54.25084175084180,40.13144791874130,54.0033820117326,n272,0.0038,0.0414,0,0.343,0.0406,0,0,0.3392,0.196,0.0358,0
proxy_350m_32l_cosine_nemotron_cc_244x_n238,67.46463547334060,53.9983164983165,41.177056363274300,54.2133361116438,n238,0,0,0.884,0,0.0208,0,0,0,0,0,0.0952
proxy_350m_32l_cosine_nemotron_cc_244x_n295,65.72361262241570,43.602693602693600,36.18801035650270,48.5047721938707,n295,0.568,0,0.0986,0,0,0,0,0,0.1758,0.1576,0
proxy_350m_32l_cosine_nemotron_cc_244x_n103,67.46463547334060,55.892255892255900,41.256721768572,54.8712043780562,n103,0.0006,0.1436,0.4546,0.0156,0.027,0,0.009,0.0768,0.0792,0.0872,0.1066
proxy_350m_32l_cosine_nemotron_cc_244x_n104,67.46463547334060,53.198653198653200,40.51981676956780,53.7277018138539,n104,0,0.0016,0.4358,0.0002,0.0808,0,0,0.0728,0.0142,0.362,0.0324
proxy_350m_32l_cosine_nemotron_cc_244x_n468,66.64853101196950,54.46127946127950,39.394542919737100,53.5014511309954,n468,0,0.1558,0.0158,0,0.007,0,0.5526,0.1662,0.1026,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n218,67.08378672470080,49.91582491582490,38.807010555666200,51.935540732064,n218,0.2078,0.2556,0.008,0.0344,0.0104,0.0054,0.0102,0,0.2246,0.2354,0.0084
proxy_350m_32l_cosine_nemotron_cc_244x_n176,66.92056583242660,53.45117845117850,40.1414060944035,53.5043834593362,n176,0.0032,0.1882,0.2258,0.3066,0.1624,0.0032,0.0002,0,0.0388,0.0714,0
proxy_350m_32l_cosine_nemotron_cc_244x_n34,66.59412404787810,50.33670033670030,38.099980083648700,51.6769348227424,n34,0.0106,0,0.0046,0.2362,0.2782,0.3276,0.0108,0,0.0188,0.1132,0
proxy_350m_32l_cosine_nemotron_cc_244x_n137,67.24700761697500,53.57744107744110,40.420235012945600,53.7482279024539,n137,0.0942,0,0.4516,0.2646,0,0,0.0134,0.001,0.1676,0.0056,0.0022
proxy_350m_32l_cosine_nemotron_cc_244x_n240,67.24700761697500,52.18855218855220,40.22107149970130,53.21887710174280,n240,0.0084,0.0902,0.0678,0.137,0.0168,0.011,0.1294,0.0356,0.0304,0.4288,0.0446
proxy_350m_32l_cosine_nemotron_cc_244x_n27,67.5734494015234,47.39057239057240,38.807010555666200,51.2570107825873,n27,0,0,0.0452,0,0.003,0,0.01,0,0.0464,0.5848,0.3104
proxy_350m_32l_cosine_nemotron_cc_244x_n447,63.928182807399300,35.648148148148100,34.425413264290000,44.667248073279100,n447,0.8276,0,0,0.0012,0,0.016,0.0004,0.0076,0.1474,0,0
proxy_350m_32l_cosine_nemotron_cc_244x_n472,67.13819368879220,52.14646464646470,40.460067715594500,53.2482420169505,n472,0.2712,0,0.0026,0.0844,0,0.0212,0,0.4386,0.0014,0.1806,0
